periodid,periodname,periodcode,perioddescription,IDSR Measles Deaths,IDSR Measles Total,Proportion of under 1 year receiving vaccine against Measles and Rubella 1,Proportion of under two years receiving  vaccine against Measles and Rubella 2
202001,January 2020,202001,,7.0,621,64.42,31.77
202002,February 2020,202002,,,333,62.75,28.2
202003,March 2020,202003,,,638,124.55,65.21
202004,April 2020,202004,,,213,90.61,47.74
202005,May 2020,202005,,,186,91.37,54.47
202006,June 2020,202006,,,145,98.13,61.25
202007,July 2020,202007,,,1845,91.65,58.78
202008,August 2020,202008,,23.0,304,84.54,46.89
202009,September 2020,202009,,,621,92.5,50.82
202010,October 2020,202010,,9.0,251,87.8,57.44
202011,November 2020,202011,,0.0,90,82.51,59.05
202012,December 2020,202012,,80.0,56,58.7,35.64
202101,January 2021,202101,,,48,71.21,42.14
202102,February 2021,202102,,,757,92.97,59.35
202103,March 2021,202103,,46.0,64,98.9,66.64
202104,April 2021,202104,,11.0,149,90.88,60.52
202105,May 2021,202105,,1.0,457,83.39,56.1
202106,June 2021,202106,,,359,92.42,74.04
202107,July 2021,202107,,4.0,73,74.46,48.15
202108,August 2021,202108,,4.0,103,80.5,49.13
202109,September 2021,202109,,19.0,96,86.51,52.2
202110,October 2021,202110,,2.0,103,82.48,52.93
202111,November 2021,202111,,,234,88.35,64.59
202112,December 2021,202112,,9.0,208,87.9,60.39
202201,January 2022,202201,,1.0,172,90.42,56.95
202202,February 2022,202202,,13.0,213,87.12,54.39
202203,March 2022,202203,,,103,94.39,59.1
202204,April 2022,202204,,,33,81.72,50.18
202205,May 2022,202205,,,224,86.3,55.11
202206,June 2022,202206,,3.0,649,90.33,66.63
202207,July 2022,202207,,3.0,468,81.3,52.99
202208,August 2022,202208,,,42,82.89,51.88
202209,September 2022,202209,,,118,95.81,61.24
202210,October 2022,202210,,11.0,182,86.22,60.31
202211,November 2022,202211,,,230,85.59,61.05
202212,December 2022,202212,,7.0,158,79.92,59.64
202301,January 2023,202301,,1.0,64,87.93,59.32
202302,February 2023,202302,,,149,89.64,62.39
202303,March 2023,202303,,2.0,312,89.32,63.75
202304,April 2023,202304,,31.0,117,78.71,53.61
202305,May 2023,202305,,2.0,228,87.74,65.17
202306,June 2023,202306,,5.0,1378,85.06,67.48
202307,July 2023,202307,,14.0,377,82.46,66.69
202308,August 2023,202308,,3.0,399,90.12,69.47
202309,September 2023,202309,,1.0,337,90.72,60.74
202310,October 2023,202310,,18.0,139,87.1,61.14
202311,November 2023,202311,,9.0,114,81.66,60.25
202312,December 2023,202312,,,318,74.94,55.43
202401,January 2024,202401,,18.0,358,86.75,60.43
202402,February 2024,202402,,2.0,297,86.39,59.09
202403,March 2024,202403,,,486,80.2,57.66
202404,April 2024,202404,,10.0,354,74.97,50.98
202405,May 2024,202405,,4.0,634,68.78,50.07
202406,June 2024,202406,,2.0,149,85.0,64.49
202407,July 2024,202407,,3.0,495,93.24,64.33
202408,August 2024,202408,,1.0,356,94.23,76.52
