date,cases
2020-01-05,28
2020-01-12,175
2020-01-19,128
2020-01-26,262
2020-02-02,28
2020-02-09,61
2020-02-16,137
2020-02-23,34
2020-03-01,101
2020-03-08,26
2020-03-15,72
2020-03-22,513
2020-03-29,27
2020-04-05,74
2020-04-12,10
2020-04-19,57
2020-04-26,32
2020-05-03,40
2020-05-10,9
2020-05-17,57
2020-05-24,37
2020-05-31,83
2020-06-07,6
2020-06-14,64
2020-06-21,70
2020-06-28,5
2020-07-05,92
2020-07-12,782
2020-07-19,533
2020-07-26,15
2020-08-02,423
2020-08-09,120
2020-08-16,21
2020-08-23,17
2020-08-30,146
2020-09-06,305
2020-09-13,177
2020-09-20,115
2020-09-27,24
2020-10-04,38
2020-10-11,20
2020-10-18,29
2020-10-25,134
2020-11-01,30
2020-11-08,35
2020-11-15,26
2020-11-22,17
2020-11-29,12
2020-12-06,11
2020-12-13,28
2020-12-20,11
2020-12-27,2
2021-01-03,4
2021-01-10,3
2021-01-17,15
2021-01-24,27
2021-01-31,3
2021-02-07,2
2021-02-14,112
2021-02-21,4
2021-02-28,639
2021-03-07,45
2021-03-14,9
2021-03-21,7
2021-03-28,3
2021-04-04,61
2021-04-11,9
2021-04-18,2
2021-04-25,70
2021-05-02,7
2021-05-09,40
2021-05-16,91
2021-05-23,183
2021-05-30,143
2021-06-06,8
2021-06-13,273
2021-06-20,65
2021-06-27,13
2021-07-04,46
2021-07-11,5
2021-07-18,6
2021-07-25,8
2021-08-01,8
2021-08-08,7
2021-08-15,64
2021-08-22,8
2021-08-29,24
2021-09-05,5
2021-09-12,36
2021-09-19,40
2021-09-26,9
2021-10-03,6
2021-10-10,10
2021-10-17,44
2021-10-24,39
2021-10-31,10
2021-11-07,15
2021-11-14,145
2021-11-21,24
2021-11-28,50
2021-12-05,12
2021-12-12,16
2021-12-19,175
2021-12-26,3
2022-01-02,2
2022-01-09,138
2022-01-16,10
2022-01-23,19
2022-01-30,5
2022-02-06,110
2022-02-13,46
2022-02-20,29
2022-02-27,28
2022-03-06,13
2022-03-13,24
2022-03-20,23
2022-03-27,14
2022-04-03,29
2022-04-10,6
2022-04-17,4
2022-04-24,17
2022-05-01,6
2022-05-08,1
2022-05-15,4
2022-05-22,11
2022-05-29,208
2022-06-05,92
2022-06-12,39
2022-06-19,21
2022-06-26,179
2022-07-03,318
2022-07-10,21
2022-07-17,390
2022-07-24,20
2022-07-31,37
2022-08-07,10
2022-08-14,7
2022-08-21,15
2022-08-28,10
2022-09-04,23
2022-09-11,14
2022-09-18,13
2022-09-25,20
2022-10-02,48
2022-10-09,63
2022-10-16,23
2022-10-23,53
2022-10-30,43
2022-11-06,40
2022-11-13,51
2022-11-20,93
2022-11-27,46
2022-12-04,79
2022-12-11,24
2022-12-18,23
2022-12-25,23
2023-01-01,9
2023-01-08,4
2023-01-15,37
2023-01-22,15
2023-01-29,8
2023-02-05,105
2023-02-12,9
2023-02-19,20
2023-02-26,15
2023-03-05,29
2023-03-12,84
2023-03-19,45
2023-03-26,140
2023-04-02,14
2023-04-09,29
2023-04-16,29
2023-04-23,24
2023-04-30,35
2023-05-07,21
2023-05-14,53
2023-05-21,109
2023-05-28,45
2023-06-04,116
2023-06-11,884
2023-06-18,85
2023-06-25,191
2023-07-02,102
2023-07-09,106
2023-07-16,52
2023-07-23,41
2023-07-30,178
2023-08-06,63
2023-08-13,28
2023-08-20,199
2023-08-27,43
2023-09-03,66
2023-09-10,88
2023-09-17,80
2023-09-24,71
2023-10-01,98
2023-10-08,45
2023-10-15,31
2023-10-22,38
2023-10-29,25
2023-11-05,24
2023-11-12,9
2023-11-19,20
2023-11-26,17
2023-12-03,44
2023-12-10,21
2023-12-17,78
2023-12-24,124
2023-12-31,95
2024-01-07,80
2024-01-14,74
2024-01-21,172
2024-01-28,32
2024-02-04,62
2024-02-11,59
2024-02-18,42
2024-02-25,71
2024-03-03,63
2024-03-10,110
2024-03-17,114
2024-03-24,126
2024-03-31,136
2024-04-07,72
2024-04-14,92
2024-04-21,87
2024-04-28,103
2024-05-05,100
2024-05-12,82
2024-05-19,136
2024-05-26,13
2024-06-02,303
2024-06-09,29
2024-06-16,26
2024-06-23,26
2024-06-30,68
2024-07-07,17
2024-07-14,366
2024-07-21,66
2024-07-28,46
2024-08-04,36
2024-08-11,53
2024-08-18,87
2024-08-25,81
2024-09-01,99
