"county","cdr","birth_rate","under_fives","measles_incidence","mcv1","mcv2","initial_prev","initial_immunity","death_rate"
"Baringo",6.9,24.424446944132,95031,13.1269491540117,81.75,51.75,1.31269491540117e-05,0.694875,6.9
"Bomet",12.9,22.5748173390311,110976,17.4705542892858,82.5,64.5,1.74705542892858e-05,0.70125,12.9
"Bungoma",10.2,24.059956840174,219174,144.632407249079,82,48.25,0.000144632407249079,0.697,10.2
"Busia",9.2,23.7161403811099,113304,564.940382417192,86,59.25,0.000564940382417192,0.731,9.2
"Elgeyo Marakwet",8.1,25.0820739854071,60932,0.505050505050505,76,50.75,5.05050505050505e-07,0.646,8.1
"Embu",7.5,19.1562256090046,61547,17.4079843082958,91,76.5,1.74079843082958e-05,0.7735,7.5
"Garissa",6.5,14.7708538616149,111616,30.5583238399076,76.25,40.5,3.05583238399076e-05,0.648125,6.5
"Homa Bay",8.7,24.8531928295729,155694,24.0466451651644,79.25,37.5,2.40466451651644e-05,0.673625,8.7
"Isiolo",10.6,24.3700395159575,40617,78.2198190701838,88.5,50.25,7.82198190701838e-05,0.75225,10.6
"Kajiado",8.1,24.8764987001276,156328,35.189752604847,88.5,56.25,3.5189752604847e-05,0.75225,8.1
"Kakamega",13.9,22.5580295779633,225919,18.4899478190397,84.5,55.25,1.84899478190397e-05,0.71825,13.9
"Kericho",13,22.1059296988408,109558,8.96423396374989,81,59.5,8.96423396374989e-06,0.6885,13
"Kiambu",8.8,24.4262905360688,278141,35.0118417934476,99.25,77.75,3.50118417934476e-05,0.843625,8.8
"Kilifi",10.2,26.0579104420118,200831,105.193202513659,77.75,55,0.000105193202513659,0.660875,10.2
"Kirinyaga",10,19.6156492676693,57491,4.60970514478135,99,86.5,4.60970514478134e-06,0.8415,10
"Kisii",9.8,21.3621171719468,143507,19.2936245301215,82,56,1.92936245301215e-05,0.697,9.8
"Kisumu",7,23.8864403215436,141070,301.661932508377,88.5,49.75,0.000301661932508377,0.75225,7
"Kitui",7.4,20.1557183269169,126190,63.312308111436,80.5,62.75,6.3312308111436e-05,0.68425,7.4
"Kwale",8.2,28.4147936899084,130290,15.7572472786416,79.5,60.5,1.57572472786416e-05,0.67575,8.2
"Laikipia",11.6,25.1937162274223,65541,51.9110545060093,88,67.5,5.19110545060093e-05,0.748,11.6
"Lamu",7,24.9381583701604,18738,31.437125748503,77.5,45.5,3.1437125748503e-05,0.65875,7
"Machakos",7.4,20.1329490582306,146858,14.4592280409633,95.25,76.5,1.44592280409633e-05,0.809625,7.4
"Makueni",5.5,17.9378372330613,96425,0.972905149960344,104.75,80,9.72905149960344e-07,0.890375,5.5
"Mandera",9.1,21.1281732032925,161091,65.3781904260528,89.25,25.5,6.53781904260528e-05,0.758625,9.1
"Marsabit",12.9,22.9507554913685,69160,121.726820465989,70,38.75,0.000121726820465989,0.595,12.9
"Meru",8.2,20.197027443709,170262,29.4085111837778,80,58,2.94085111837778e-05,0.68,8.2
"Migori",12.3,26.5970739904389,161426,93.731712862495,89.75,57,9.3731712862495e-05,0.762875,12.3
"Mombasa",9.7,24.9275223184913,147903,29.2306286410561,82.5,57.5,2.92306286410561e-05,0.70125,9.7
"Muranga",10.8,20.3017388646131,110514,19.9983147670712,90.5,75.75,1.99983147670712e-05,0.76925,10.8
"Nairobi",9.2,25.879565905239,524987,34.6030174845715,86.75,58.5,3.46030174845715e-05,0.737375,9.2
"Nakuru",9.5,25.0135631585301,273331,5.7832290009637,88.25,66,5.7832290009637e-06,0.750125,9.5
"Nandi",12.8,22.2312798284725,105970,5.35998718136203,83.75,62.25,5.35998718136203e-06,0.711875,12.8
"Narok",14.1,28.0943855276215,187896,30.2477550379053,77.25,45.5,3.02477550379053e-05,0.656625,14.1
"Nyamira",7.6,19.211873909073,64454,105.206365044332,97.25,62.5,0.000105206365044332,0.826625,7.6
"Nyandarua",11.6,21.6648466398963,69988,2.1551724137931,89.25,74.25,2.1551724137931e-06,0.758625,11.6
"Nyeri",10.2,19.4498197285588,73098,1.22230862010472,87,77,1.22230862010472e-06,0.7395,10.2
"Samburu",11.2,28.7219644238206,50681,36.5862768284001,66,28,3.65862768284001e-05,0.561,11.2
"Siaya",15.5,23.6043356340588,121658,407.798965676218,93.5,51.75,0.000407798965676218,0.79475,15.5
"Taita Taveta",13.6,22.7438179555222,38689,2.08333333333333,90.25,75,2.08333333333333e-06,0.767125,13.6
"Tana River",12.9,30.5183562753805,53178,119.520036849703,78,48.25,0.000119520036849703,0.663,12.9
"Tharaka Nithi",10.6,19.8158557367042,40384,48.561377576278,85.25,66.25,4.8561377576278e-05,0.724625,10.6
"Trans Nzoia",8.9,23.9388960863888,129558,12.8901295449301,84.5,53.25,1.28901295449301e-05,0.71825,8.9
"Turkana",6.2,21.3904666353814,131429,494.595389810381,71,41.25,0.000494595389810381,0.6035,6.2
"Uasin Gishu",11.5,23.6193191294734,140223,0.836738905239747,83.75,59.5,8.36738905239747e-07,0.711875,11.5
"Vihiga",9.4,20.5796261362269,64638,44.8676369570348,82.5,57,4.48676369570348e-05,0.70125,9.4
"Wajir",11.6,14.2163350887209,122827,78.7501168461085,74.75,36.25,7.87501168461085e-05,0.635375,11.6
"West Pokot",12,32.2137193227585,113990,217.481978829174,61,26,0.000217481978829174,0.5185,12
